[真相] 2000刮刮,6,Sat Jan 25 19:33:41 2025
[真相] 1000刮刮,4,Sat Jan 25 20:01:26 2025
Re: [閒聊] 玄,0,Sat Jan 25 20:42:48 2025
[真相] 鈔票一把抓,0,Sat Jan 25 21:08:48 2025
[情報] 樂透小常識 (編修:2019/05/01),32,
[公告] 樂透版版規 2016.08.21,4,Sun Aug 21 23:14:10 2016
Re: [閒聊] 刮刮樂機率分析彙整,8,Sat Jan  4 12:01:30 2025
[報牌] 蛇燦年發539,11,Tue Jan 21 17:45:18 2025
[報牌] 539老朋友、34星,3,Tue Jan 21 19:43:44 2025
Re: [討論] 賓果一星押很大有沒有搞頭,3,Tue Jan 21 22:03:52 2025
[報牌] 蛇燦年發539,12,Wed Jan 22 10:32:44 2025
[報牌] 蛇燦年發法鬥幸運39二三合,2,Wed Jan 22 15:22:17 2025
[報牌] 虎斑法鬥 39 二合,1,Thu Jan 23 06:28:59 2025
[報牌] 蛇燦年發法鬥539 二三合,1,Thu Jan 23 16:50:23 2025
[報牌] 蛇燦年發539,9,Thu Jan 23 18:35:07 2025
[報牌] 威力、三四星,0,Thu Jan 23 18:45:47 2025
[報牌] 蛇燦年發539,15,Fri Jan 24 15:20:57 2025
[報牌] 老朋友539、34星,0,Fri Jan 24 18:20:09 2025
[討論] Bingo戰績,3,Fri Jan 24 20:42:42 2025
[閒聊] 2000元頭獎被中一張了,3,Fri Jan 24 21:31:39 2025
Re: [新聞] 大樂透春節加碼 加開480組百萬及...,1,Sat Jan 25 08:10:14 2025
[真相] 賓果四星全壘打,6,Sat Jan 25 13:42:40 2025
[真相] 39樂合,5,Sat Jan 25 13:49:43 2025
[報牌] 39樂合,1,Sat Jan 25 17:25:44 2025
[報牌] 蛇燦年發539,9,Sat Jan 25 18:24:35 2025
[報牌] 虎斑法鬥 39 二合,0,Sat Jan 25 18:58:56 2025
[報牌] 法鬥蛇燦年發539 二三合,2,Wed Jan 15 15:30:46 2025
[報牌] 虎斑法鬥 39 二合,0,Thu Jan 16 11:29:48 2025
[報牌] 蛇燦法鬥539 二三合,2,Thu Jan 16 15:05:12 2025
[報牌] 蛇燦年發539,11,Thu Jan 16 18:40:54 2025
Re: [閒聊] 刮刮樂機率分析彙整,4,Thu Jan 16 22:36:11 2025
[真相] 鈔票一把抓,8,Fri Jan 17 12:26:06 2025
Re: [討論] 2025發財預算,2,Fri Jan 17 13:51:50 2025
[報牌] 蛇燦年發539,9,Fri Jan 17 16:01:00 2025
[報牌] 老朋友539、34星,2,Fri Jan 17 19:12:02 2025
[真相] 2000整本 惡魔之本,29,Sat Jan 18 07:46:12 2025
[報牌] 蛇燦年發539,11,Sat Jan 18 15:53:17 2025
[真相] 539,4,Sun Jan 19 01:03:06 2025
[討論] 賓果一星押很大有沒有搞頭,11,Mon Jan 20 02:45:42 2025
[報牌] 過年539,1,Mon Jan 20 11:42:39 2025
[報牌] 蛇燦年發539,16,Mon Jan 20 16:29:41 2025
[報牌] 虎斑法鬥 39 二合,0,Mon Jan 20 16:47:03 2025
Re: [討論]歷年2000元刮刮樂發行量,2,Mon Jan 20 20:46:13 2025
[閒聊] 刮刮樂買整本好還是分散買？,9,Tue Jan 21 10:35:47 2025
[報牌] 虎斑法鬥 39 二合,1,Tue Jan 21 12:23:40 2025
